position,module
103.874_30.305,1
103.890_30.301,1
103.885_30.301,1
103.879_30.302,1
103.872_30.309,1
103.872_30.304,1
103.868_30.365,1
103.869_30.370,1
103.867_30.360,1
103.870_30.347,1
103.869_30.356,1
103.868_30.364,1
103.860_30.350,1
103.862_30.341,1
103.862_30.355,1
103.861_30.345,1
103.859_30.341,1
103.860_30.332,1
103.863_30.336,1
103.863_30.349,1
103.860_30.331,1
103.863_30.321,1
103.862_30.353,1
103.863_30.340,1
103.863_30.331,1
103.948_30.283,1
103.984_30.278,1
104.006_30.275,1
103.962_30.281,1
103.932_30.286,1
104.059_30.269,1
104.051_30.270,1
104.028_30.273,1
104.067_30.268,1
103.862_30.331,1
103.860_30.340,1
103.864_30.323,1
103.860_30.348,1
103.863_30.328,1
103.866_30.315,1
103.865_30.319,1
103.867_30.310,1
103.868_30.335,1
103.864_30.352,1
103.866_30.344,1
103.864_30.357,1
103.867_30.344,1
103.867_30.339,1
103.870_30.325,1
103.870_30.320,1
103.865_30.326,1
103.867_30.316,1
103.865_30.343,1
103.865_30.335,1
103.866_30.321,1
103.868_30.312,1
103.860_30.345,1
103.863_30.335,1
103.879_30.297,1
103.872_30.305,1
103.894_30.294,1
103.904_30.293,1
103.870_30.309,1
103.921_30.291,1
103.884_30.296,1
103.876_30.300,1
103.873_30.308,1
103.874_30.304,1
103.878_30.306,1
103.882_30.300,1
103.869_30.312,1
103.857_30.337,1
103.860_30.314,1
103.858_30.326,1
103.857_30.342,1
103.862_30.305,1
103.861_30.309,1
103.864_30.301,1
103.856_30.339,1
103.859_30.321,1
103.858_30.330,1
103.857_30.334,1
103.858_30.329,1
103.859_30.324,1
103.861_30.311,1
103.957_30.278,1
103.963_30.275,1
103.969_30.273,1
103.944_30.284,1
103.988_30.264,1
103.982_30.267,1
103.975_30.270,1
104.003_30.261,1
103.954_30.261,1
103.959_30.260,1
103.950_30.262,1
103.965_30.258,1
103.986_30.258,1
104.005_30.265,1
103.976_30.256,1
103.969_30.257,1
103.900_30.296,1
103.911_30.294,1
103.932_30.292,1
103.921_30.293,1
103.880_30.301,1
103.885_30.299,1
103.890_30.297,1
103.876_30.305,1
103.915_30.292,1
103.925_30.294,1
103.905_30.293,1
103.910_30.292,1
103.901_30.295,1
103.896_30.297,1
103.892_30.299,1
103.888_30.301,1
103.939_30.266,1
103.929_30.269,1
103.919_30.272,1
103.944_30.264,1
103.908_30.276,1
103.899_30.279,1
103.888_30.282,1
103.878_30.286,1
103.959_30.289,1
103.991_30.285,1
103.943_30.291,1
103.975_30.287,1
104.007_30.284,1
104.018_30.283,1
104.013_30.283,1
104.024_30.282,1
103.946_30.287,1
103.959_30.283,1
103.933_30.290,1
103.923_30.293,1
103.889_30.303,1
103.911_30.297,1
103.899_30.300,1
103.879_30.306,1
103.855_30.320,1
103.854_30.325,1
103.853_30.329,1
103.853_30.333,1
103.857_30.316,1
